kind	frame	raw_tick	ly	line_tick	dot	state	x	screen_x	addr	byte	raw_color	palette_kind	palette_reg	palette_value	io_scy	io_lcdc	io_wx	pos	conflict	norm_dot
fetch	90	13175256	0	89	44.5	GET_TILE_T1	0	0							00	83	00	249		9223372036854775808.0
fetch	90	13175256	0	89	44.5	GET_TILE_DATA_LOWER_T1	2	0							00	83	00	251		9223372036854775808.0
fetch	90	13175264	0	97	48.5	GET_TILE_DATA_HIGH_T1	4	0							00	83	00	253		2.0
pixel	90	13175268	0	101	50.5		0	0			0	BG	FF47	00	00	83	00	0		4.0
fetch	90	13175268	0	101	50.5	GET_TILE_T1	0	1							00	83	00	1		4.0
pixel	90	13175270	0	103	51.5		1	1			0	BG	FF47	01	00	83	00	1		5.0
write	90	13175270	0	103	51.5				FF47	01					00	83	00		PALETTE_DMG	5.0
pixel	90	13175280	0	113	56.5		2	2			0	BG	FF47	01	00	83	00	2		10.0
fetch	90	13175280	0	113	56.5	GET_TILE_DATA_LOWER_T1	2	3							00	83	00	3		10.0
pixel	90	13175280	0	113	56.5		3	3			0	BG	FF47	01	00	83	00	3		10.0
pixel	90	13175280	0	113	56.5		4	4			0	BG	FF47	01	00	83	00	4		10.0
fetch	90	13175280	0	113	56.5	GET_TILE_DATA_HIGH_T1	4	5							00	83	00	5		10.0
pixel	90	13175280	0	113	56.5		5	5			0	BG	FF47	01	00	83	00	5		10.0
pixel	90	13175280	0	113	56.5		6	6			0	BG	FF47	01	00	83	00	6		10.0
pixel	90	13175288	0	121	60.5		7	7			0	BG	FF47	01	00	83	00	7		14.0
pixel	90	13175288	0	121	60.5		8	8			0	BG	FF47	01	00	83	00	8		14.0
fetch	90	13175288	0	121	60.5	GET_TILE_T1	0	9							00	83	00	9		14.0
pixel	90	13175288	0	121	60.5		9	9			0	BG	FF47	01	00	83	00	9		14.0
pixel	90	13175288	0	121	60.5		10	10			0	BG	FF47	01	00	83	00	10		14.0
fetch	90	13175288	0	121	60.5	GET_TILE_DATA_LOWER_T1	2	11							00	83	00	11		14.0
pixel	90	13175292	0	125	62.5		11	11			0	BG	FF47	01	00	83	00	11		16.0
pixel	90	13175292	0	125	62.5		12	12			0	BG	FF47	01	00	83	00	12		16.0
fetch	90	13175292	0	125	62.5	GET_TILE_DATA_HIGH_T1	4	13							00	83	00	13		16.0
pixel	90	13175294	0	127	63.5		13	13			0	BG	FF47	01	00	83	00	13		17.0
write	90	13175294	0	127	63.5				FF47	00					00	83	00		PALETTE_DMG	17.0
pixel	90	13175304	0	137	68.5		14	14			0	BG	FF47	00	00	83	00	14		22.0
pixel	90	13175304	0	137	68.5		15	15			0	BG	FF47	00	00	83	00	15		22.0
pixel	90	13175304	0	137	68.5		16	16			0	BG	FF47	00	00	83	00	16		22.0
fetch	90	13175304	0	137	68.5	GET_TILE_T1	0	17							00	83	00	17		22.0
pixel	90	13175304	0	137	68.5		17	17			0	BG	FF47	00	00	83	00	17		22.0
pixel	90	13175304	0	137	68.5		18	18			0	BG	FF47	00	00	83	00	18		22.0
fetch	90	13175304	0	137	68.5	GET_TILE_DATA_LOWER_T1	2	19							00	83	00	19		22.0
pixel	90	13175312	0	145	72.5		19	19			0	BG	FF47	00	00	83	00	19		26.0
pixel	90	13175312	0	145	72.5		20	20			0	BG	FF47	00	00	83	00	20		26.0
fetch	90	13175312	0	145	72.5	GET_TILE_DATA_HIGH_T1	4	21							00	83	00	21		26.0
pixel	90	13175312	0	145	72.5		21	21			0	BG	FF47	00	00	83	00	21		26.0
pixel	90	13175312	0	145	72.5		22	22			0	BG	FF47	00	00	83	00	22		26.0
pixel	90	13175320	0	153	76.5		23	23			0	BG	FF47	00	00	83	00	23		30.0
pixel	90	13175320	0	153	76.5		24	24			0	BG	FF47	00	00	83	00	24		30.0
fetch	90	13175320	0	153	76.5	GET_TILE_T1	0	25							00	83	00	25		30.0
pixel	90	13175320	0	153	76.5		25	25			0	BG	FF47	00	00	83	00	25		30.0
pixel	90	13175320	0	153	76.5		26	26			0	BG	FF47	00	00	83	00	26		30.0
fetch	90	13175320	0	153	76.5	GET_TILE_DATA_LOWER_T1	2	27							00	83	00	27		30.0
pixel	90	13175328	0	161	80.5		27	27			0	BG	FF47	00	00	83	00	27		34.0
pixel	90	13175328	0	161	80.5		28	28			0	BG	FF47	00	00	83	00	28		34.0
fetch	90	13175328	0	161	80.5	GET_TILE_DATA_HIGH_T1	4	29							00	83	00	29		34.0
pixel	90	13175328	0	161	80.5		29	29			0	BG	FF47	00	00	83	00	29		34.0
pixel	90	13175328	0	161	80.5		30	30			0	BG	FF47	00	00	83	00	30		34.0
pixel	90	13175336	0	169	84.5		31	31			0	BG	FF47	00	00	83	00	31		38.0
pixel	90	13175336	0	169	84.5		32	32			0	BG	FF47	00	00	83	00	32		38.0
fetch	90	13175336	0	169	84.5	GET_TILE_T1	0	33							00	83	00	33		38.0
pixel	90	13175336	0	169	84.5		33	33			0	BG	FF47	00	00	83	00	33		38.0
pixel	90	13175336	0	169	84.5		34	34			0	BG	FF47	00	00	83	00	34		38.0
fetch	90	13175336	0	169	84.5	GET_TILE_DATA_LOWER_T1	2	35							00	83	00	35		38.0
pixel	90	13175344	0	177	88.5		35	35			0	BG	FF47	00	00	83	00	35		42.0
pixel	90	13175344	0	177	88.5		36	36			0	BG	FF47	00	00	83	00	36		42.0
fetch	90	13175344	0	177	88.5	GET_TILE_DATA_HIGH_T1	4	37							00	83	00	37		42.0
pixel	90	13175344	0	177	88.5		37	37			0	BG	FF47	00	00	83	00	37		42.0
pixel	90	13175344	0	177	88.5		38	38			0	BG	FF47	00	00	83	00	38		42.0
pixel	90	13175352	0	185	92.5		39	39			0	BG	FF47	00	00	83	00	39		46.0
pixel	90	13175352	0	185	92.5		40	40			0	BG	FF47	00	00	83	00	40		46.0
fetch	90	13175352	0	185	92.5	GET_TILE_T1	0	41							00	83	00	41		46.0
pixel	90	13175352	0	185	92.5		41	41			0	BG	FF47	00	00	83	00	41		46.0
pixel	90	13175352	0	185	92.5		42	42			0	BG	FF47	00	00	83	00	42		46.0
fetch	90	13175352	0	185	92.5	GET_TILE_DATA_LOWER_T1	2	43							00	83	00	43		46.0
pixel	90	13175360	0	193	96.5		43	43			0	BG	FF47	00	00	83	00	43		50.0
