kind	frame	raw_tick	ly	line_tick	dot	state	x	screen_x	addr	byte	raw_color	palette_kind	palette_reg	palette_value	io_scy	io_lcdc	io_wx	pos	conflict	norm_dot
fetch	80	12018544	2	371	185.5	GET_TILE_DATA_LOWER_T1	2	0							02	93	00	123		139.0
fetch	80	12018550	2	377	188.5	GET_TILE_DATA_HIGH_T1	4	0							02	93	00	125		142.0
write	80	12018550	2	377	188.5				FF42	03					03	93	00		READ_NEW	142.0
fetch	80	12018560	2	387	193.5	GET_TILE_T1	0	0							03	93	00	129		147.0
fetch	80	12018560	2	387	193.5	GET_TILE_DATA_LOWER_T1	2	0							03	93	00	131		147.0
fetch	80	12018566	2	393	196.5	GET_TILE_DATA_HIGH_T1	4	0							03	93	00	133		150.0
write	80	12018566	2	393	196.5				FF42	04					04	93	00		READ_NEW	150.0
fetch	80	12018576	2	403	201.5	GET_TILE_T1	0	0							04	93	00	137		155.0
fetch	80	12018576	2	403	201.5	GET_TILE_DATA_LOWER_T1	2	0							04	93	00	139		155.0
fetch	80	12018582	2	409	204.5	GET_TILE_DATA_HIGH_T1	4	0							04	93	00	141		158.0
write	80	12018582	2	409	204.5				FF42	03					03	93	00		READ_NEW	158.0
fetch	80	12018592	2	419	209.5	GET_TILE_T1	0	0							03	93	00	145		163.0
fetch	80	12018592	2	419	209.5	GET_TILE_DATA_LOWER_T1	2	0							03	93	00	147		163.0
fetch	80	12018598	2	425	212.5	GET_TILE_DATA_HIGH_T1	4	0							03	93	00	149		166.0
write	80	12018598	2	425	212.5				FF42	02					02	93	00		READ_NEW	166.0
fetch	80	12018608	2	435	217.5	GET_TILE_T1	0	0							02	93	00	153		171.0
fetch	80	12018608	2	435	217.5	GET_TILE_DATA_LOWER_T1	2	0							02	93	00	155		171.0
fetch	80	12018614	2	441	220.5	GET_TILE_DATA_HIGH_T1	4	0							02	93	00	157		174.0
write	80	12018614	2	441	220.5				FF42	01					01	93	00		READ_NEW	174.0
write	80	12018688	2	515	257.5				FFFD	01					01	93	00		READ_OLD	211.0
write	80	12018696	2	523	261.5				FFFC	92					01	93	00		READ_OLD	215.0
